taxon,dispersal.low,dispersal.high,flying.strength.none,flying.strength.weak,flying.strength.strong,size.small,size.medium,size.large,depositional,depositional.erosional,erosional,cold,cool.warm,warm,CG,CF,HB,PR,sensitive,medium,tolerant
ablabesmyia,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
acentrella,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
aulodrilus,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
baetidae,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
baetis,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
brachycentrus,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0
caecidotea,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
caenis,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
centroptilum,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
ceratopogonidae,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
ceratopogoninae,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
cheumatopsyche,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
chironomidae,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
chironomus,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
cladotanytarsus,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
coenagrionidae,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
corbicula,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1
crangonyx,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
cricotopus/orthocladius,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
cryptochironomus,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
cryptotendipes,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
dero,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
dicrotendipes,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
dubiraphia,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
enchytraeidae,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0
ephemerella,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
eukiefferiella,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
fallceon,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
gammarus,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
glyptotendipes,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
gomphidae,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
heptageniidae,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
heterlimnius,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
hyalella,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
hydrobiidae,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
hydropsyche,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
hydropsychidae,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
hydroptila,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
lebertia,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
lepidostoma,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
leptophlebiidae,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
limnodrilus,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
lirceus,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
maccaffertium,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
micropsectra,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
microtendipes,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
naididae,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
nais,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
nectopsyche,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
oecetis,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
optioservus,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
parakiefferiella,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
parametriocnemus,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
paratanytarsus,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
paratendipes,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
phaenopsectra,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
physa,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
pisidiidae,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
pisidium,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
polypedilum,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
procladius,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
pseudochironomus,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
pseudocloeon,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
rheotanytarsus,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
saetheria,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
simulium,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
stempellinella,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
stenelmis,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
stictochironomus,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
tanytarsus,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
thienemannimyia genus gr.,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
tribelos,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
tricorythodes,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
tubificidae,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1
turbellaria,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
tvetenia,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0